time	I(Ls1)
4.959434442152778e-005	4.585612e-005
4.959438852258956e-005	-2.406088e-004
4.959444606855040e-005	-4.885295e-004
4.959448492266585e-005	-5.154701e-004
4.959451906248399e-005	-4.093609e-004
4.959455373779675e-005	-2.092798e-004
4.959458555554397e-005	1.456362e-005
4.959462701942989e-005	2.845516e-004
4.959467479152021e-005	4.790222e-004
4.959472016578988e-005	4.873477e-004
4.959476836102219e-005	3.062958e-004
4.959480983183508e-005	4.546217e-005
4.959485435822482e-005	-2.388419e-004
4.959491284671816e-005	-4.838814e-004
4.959495186168846e-005	-5.066633e-004
4.959498594603123e-005	-3.983405e-004
4.959502052444905e-005	-1.987687e-004
4.959505221695444e-005	2.201076e-005
4.959509373508083e-005	2.883967e-004
4.959514025616122e-005	4.741094e-004
4.959518554713857e-005	4.816895e-004
4.959523356420415e-005	3.039050e-004
4.959527539475424e-005	4.435074e-005
4.959532033230077e-005	-2.375470e-004
4.959537980901035e-005	-4.793088e-004
4.959541898943141e-005	-4.975906e-004
4.959545300651526e-005	-3.868603e-004
4.959548747366575e-005	-1.877428e-004
4.959551902628196e-005	2.989191e-005
4.959556063367679e-005	2.928782e-004
4.959560570583091e-005	4.693451e-004
4.959565084725623e-005	4.764386e-004
4.959569864018492e-005	3.024846e-004
4.959574081254774e-005	4.453865e-005
4.959578617598471e-005	-2.353978e-004
4.959584642025890e-005	-4.742316e-004
4.959588571801081e-005	-4.893096e-004
4.959591968425273e-005	-3.773376e-004
4.959595406945619e-005	-1.793253e-004
4.959598551943336e-005	3.530294e-005
4.959602704650312e-005	2.936545e-004
4.959607177387206e-005	4.644776e-004
4.959611716210885e-005	4.689740e-004
4.959616500996170e-005	2.946726e-004
4.959620759265948e-005	3.655148e-005
4.959625327577042e-005	-2.383046e-004
4.959631577080973e-005	-4.710675e-004
4.959635545936296e-005	-4.753057e-004
4.959638921987232e-005	-3.560178e-004
4.959642330092150e-005	-1.561710e-004
4.959645437776182e-005	5.402837e-005
4.959649683313524e-005	3.104714e-004
4.959654003304699e-005	4.643330e-004
4.959658579949296e-005	4.576992e-004
4.959663353002451e-005	2.772926e-004
4.959667661567002e-005	1.607207e-005
4.959672251972748e-005	-2.480626e-004
4.959679049136643e-005	-4.673439e-004
4.959683105515617e-005	-4.466055e-004
4.959686419876404e-005	-3.108381e-004
4.959689747767687e-005	-1.061439e-004
4.959692889958795e-005	1.033930e-004
4.959697370537160e-005	3.557941e-004
4.959701343388461e-005	4.696958e-004
4.959706256055501e-005	4.261228e-004
4.959710909778958e-005	2.270918e-004
4.959715265614290e-005	-4.289226e-005
4.959719860762597e-005	-3.077472e-004
4.959724672963669e-005	-4.714401e-004
4.959728343949059e-005	-4.727770e-004
4.959731707244487e-005	-3.635267e-004
4.959735109324060e-005	-1.747053e-004
4.959738274910646e-005	3.384550e-005
4.959742261343467e-005	2.741139e-004
4.959746799970471e-005	4.439213e-004
4.959751400331188e-005	4.514958e-004
4.959756228652655e-005	2.834207e-004
4.959760603139149e-005	2.865849e-005
4.959765283990667e-005	-2.368682e-004
4.959771890701201e-005	-4.557396e-004
4.959775909645905e-005	-4.442849e-004
4.959779248233233e-005	-3.178047e-004
4.959782605585845e-005	-1.204241e-004
4.959785653256077e-005	7.872822e-005
4.959789957267521e-005	3.227566e-004
4.959794098504116e-005	4.502455e-004
4.959799098753310e-005	4.219476e-004
4.959803764369446e-005	2.361316e-004
4.959808155007646e-005	-2.670896e-005
4.959812827621504e-005	-2.886117e-004
4.959818031079958e-005	-4.588005e-004
4.959821772530814e-005	-4.554681e-004
4.959825125756064e-005	-3.432886e-004
4.959828510709167e-005	-1.559932e-004
4.959831646861312e-005	4.633489e-005
4.959835621413640e-005	2.779620e-004
